DEPT,CNPOR,GR,RHOB,DT,MELCAL,SPOR,Vsh
1558.50,17.53,17.10,1.97,70.95,18.35,16.52,0.03
1559.00,21.60,14.05,2.03,70.84,18.03,16.43,0.02
1559.50,25.74,13.28,2.09,70.33,16.48,16.07,0.02
1560.00,26.57,17.10,2.13,69.92,16.06,15.79,0.03
1560.50,25.26,17.99,2.11,70.18,16.41,15.97,0.04
1561.00,24.88,17.56,2.06,71.14,16.63,16.65,0.03
1561.50,23.84,18.62,1.99,72.04,17.91,17.29,0.04
1562.00,21.54,18.85,1.93,72.08,18.41,17.31,0.04
1562.50,21.08,16.31,1.89,71.18,18.25,16.67,0.03
1563.00,21.15,14.07,1.90,70.00,17.47,15.84,0.02
1563.50,19.18,14.97,1.92,69.42,16.75,15.43,0.03
1564.00,17.58,15.31,1.92,69.89,16.15,15.77,0.03
1564.50,20.98,12.83,1.87,71.07,16.93,16.60,0.02
1565.00,27.59,10.83,1.80,72.23,18.26,17.42,0.02
1565.50,32.23,10.84,1.74,72.87,18.45,17.87,0.02
1566.00,34.06,12.22,1.71,72.76,18.45,17.79,0.02
1566.50,34.69,11.52,1.71,71.95,18.45,17.22,0.02
1567.00,33.61,11.73,1.73,70.91,18.45,16.49,0.02
1567.50,30.12,15.82,1.77,70.19,18.38,15.97,0.03
1568.00,28.06,15.78,1.79,70.00,18.25,15.84,0.03
1568.50,30.31,14.00,1.78,70.26,18.42,16.02,0.02
1569.00,31.43,14.73,1.74,70.81,18.45,16.42,0.03
1569.50,28.60,15.45,1.70,71.54,18.45,16.93,0.03
1570.00,27.34,14.32,1.70,72.14,18.45,17.36,0.03
1570.50,28.47,12.93,1.77,72.31,18.45,17.48,0.02
1571.00,27.75,15.51,1.92,71.92,18.37,17.20,0.03
1571.50,24.68,18.02,2.06,70.92,17.09,16.49,0.04
1572.00,22.72,19.86,2.11,69.66,15.67,15.60,0.04
1572.50,25.13,17.91,2.06,68.95,16.07,15.10,0.04
1573.00,29.11,13.75,1.95,69.19,17.46,15.27,0.02
1573.50,30.78,11.75,1.82,70.05,18.35,15.88,0.02
1574.00,30.50,12.60,1.69,70.93,18.45,16.50,0.02
1574.50,28.35,14.08,1.58,71.44,18.45,16.86,0.02
1575.00,25.45,14.72,1.53,71.61,18.45,16.98,0.03
1575.50,24.53,14.07,1.52,71.65,18.40,17.01,0.02
1576.00,26.97,13.14,1.55,71.50,18.32,16.90,0.02
1576.50,30.51,10.54,1.62,70.89,18.41,16.47,0.01
1577.00,29.58,8.66,1.73,69.95,18.27,15.81,0.01
1577.50,21.62,10.16,1.82,69.31,17.59,15.36,0.01
1578.00,15.03,13.33,1.83,69.62,17.54,15.57,0.02
1578.50,16.11,15.49,1.77,71.04,17.88,16.57,0.03
1579.00,19.63,15.31,1.74,72.94,17.70,17.92,0.03
1579.50,19.77,16.67,1.84,74.42,16.37,18.97,0.03
1580.00,19.71,23.28,2.05,75.28,13.86,19.58,0.05
1580.50,21.72,34.86,2.23,76.48,12.63,20.42,0.09
1581.00,24.59,44.83,2.31,79.20,12.39,22.35,0.12
1581.50,26.69,52.02,2.30,83.58,12.38,25.44,0.14
1582.00,28.11,53.48,2.30,88.05,12.38,28.61,0.14
1582.50,28.25,51.77,2.34,90.44,12.33,30.29,0.14
1583.00,25.52,43.54,2.43,89.59,12.14,29.70,0.11
1583.50,21.75,29.84,2.51,86.04,12.05,27.18,0.07
1584.00,18.98,24.11,2.51,81.38,12.04,23.89,0.05
1584.50,16.72,30.95,2.40,77.46,12.05,21.11,0.07
1585.00,14.76,33.70,2.22,75.41,12.21,19.66,0.08
1585.50,14.00,28.34,2.05,75.14,13.57,19.47,0.07
1586.00,15.98,20.20,1.95,75.78,15.80,19.93,0.04
1586.50,20.31,16.71,1.94,76.43,16.59,20.39,0.03
1587.00,22.92,17.54,2.00,76.55,15.32,20.47,0.03
1587.50,21.47,19.37,2.08,76.15,13.29,20.19,0.04
1588.00,18.87,18.36,2.11,75.61,12.89,19.81,0.04
1588.50,17.09,17.32,2.08,75.17,12.89,19.50,0.03
1589.00,16.30,17.13,2.05,74.77,13.70,19.21,0.03
